couponId,couponname,couponsecuritycode,couponamount,couponcurrency,couponpercent,couponstartdate,couponenddate,couponlimit,couponcategories,couponproducts,couponusedcount,couponlastuseddate,couponcomment,couponother
104788,00201293TS,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104787,0020123J7U,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104786,0020122KMO,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104785,0020119FE1,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104784,0020114LUH,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104783,00201019CX,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104782,00200955FB,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104781,0020081VNI,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104780,0020077EK2,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104779,0020073ILK,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104778,0020060MXI,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104777,0020051FBV,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104776,0020039BL5,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104775,00200341HY,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104774,0020031F17,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104773,0020022GZ6,23A08665A3,98,SGD,0,6/15/2014,1/15/2015,1,,,1,8/27/2014,Actual exp is 15 Dec 2014,
104772,0020012LMZ,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104771,0020010RV0,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104770,0020005X9L,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104769,00200027M8,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104768,0020001KCC,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104767,0010225AWD,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104766,00102197IG,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104765,0010211MHI,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104764,0010198LBB,1573A20B75,98,SGD,0,6/15/2014,1/15/2015,1,,,1,8/29/2014,Actual exp is 15 Dec 2014,
104763,00101775N3,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104762,0010175SQ2,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104761,0010150OEK,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104760,0010140UT7,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104759,0010126U4P,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104758,001011111P,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104757,0010101XI8,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104756,00100836M6,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104755,00100768HA,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104754,0010068192,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104753,0010057VHV,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104752,0010052JT5,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104751,0010050EMZ,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104750,001004549K,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104749,0010037KRP,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104748,00100231PE,7B3B7198D7,98,SGD,0,6/15/2014,1/15/2015,1,,,1,8/27/2014,Actual exp is 15 Dec 2014,
104746,0020230D44,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104745,00202089KI,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104744,0020203F71,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104743,0020167VVT,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104742,0020133J9X,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104741,0020123KVY,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104740,0020110ERS,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104739,0020104AEQ,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104738,0020103FBM,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104737,0020087R5L,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104736,00200866JM,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104735,0020045DOH,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104734,0010250OI1,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104733,0010246U5T,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104732,001024231N,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104731,00102375AY,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104730,0010235NQE,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104729,0010233FRM,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104728,00102284ID,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104727,0010227WA3,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104726,0010225CCR,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104725,0010224LKQ,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104724,0010220CE9,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104723,0010215XNT,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104722,00102139GO,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104721,00102093H2,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104720,0010208QU7,5E90184348,68,SGD,0,6/15/2014,1/15/2015,1,,,1,9/2/2014,Actual exp is 15 Dec 2014,
104719,0010205L67,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104718,0010200AYY,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104717,0010193WW1,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104716,0010189JFR,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104715,0010173F6N,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104714,00101712DG,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104713,00101695KL,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104712,0010168PIN,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104711,00101621GA,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104710,0010158QA6,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104709,0010149MWW,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104708,0010144K4S,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104707,0010141K0R,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104706,00101399ND,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104705,00101373C6,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104704,0010132D4X,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104703,0010130HF9,F942DFC0F4,68,SGD,0,6/15/2014,1/15/2015,1,,,1,8/28/2014,Actual exp is 15 Dec 2014,
104702,0010119W6Y,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104701,0010118YBX,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104700,0010117J5N,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104699,00101074CN,,68,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
